student_id,age,gender,parental_education,study_hours_week,attendance_rate,extracurricular,sleep_hours,previous_scores,tutoring,internet_quality,family_income,health_status,final_grade
STD01416,22,M,bachelor,5.66,69.55,Yes,6.49,49.41,No,Good,Medium,Good,85.39
STD01345,19,M,bachelor,13.3,58.82,Yes,8.12,50.29,No,,Medium,Good,98.43
STD01705,25,M,master,10.43,59.72,Yes,6.6,71.64,No,Good,Medium,Good,100
STD00299,21,F,bachelor,3.9,68.33,Yes,6.99,50.93,Yes,Poor,Low,Excellent,86.85
STD01762,19,F,bachelor,4.24,50.44,Yes,8.06,54.0,No,Poor,Medium,Excellent,83.25
STD00396,22,M,bachelor,15.06,53.76,Yes,6.72,55.3,Yes,Good,Low,Excellent,98.4
STD02045,21,F,bachelor,2.69,61.39,No,,49.48,No,Good,Medium,Good,82.39
STD00258,19,F,master,10.23,72.88,No,5.05,62.54,No,Poor,High,Good,93.03
STD01805,25,M,bachelor,14.56,50.43,Yes,7.09,46.18,No,Excellent,Low,Good,91.03
STD01844,18,M,high_school,7.38,64.39,Yes,6.42,21.65,No,Poor,,Good,77.99
STD00664,24,F,high_school,,68.42,Yes,7.04,61.72,No,Excellent,Low,Good,98.42
STD02081,25,F,master,12.74,63.69,No,6.94,75.6,Yes,Poor,Low,Excellent,100
STD00794,24,M,master,14.37,48.28,No,7.2,44.44,Yes,Poor,,Good,97.51
STD01625,24,M,bachelor,12.79,52.71,Yes,8.08,65.13,No,,High,Excellent,100
STD00882,25,M,bachelor,8.51,29.86,Yes,8.07,48.19,No,Poor,Low,Excellent,78.8
STD01715,22,M,bachelor,1.15,49.84,Yes,6.8,51.07,No,Good,Low,Good,73.48
STD00660,18,M,bachelor,,49.88,Yes,7.43,52.41,  No ,Good,,Good,87.97
STD00805,23,F,high_school,6.49,66.46,Yes,7.72,61.9,No,,High,Good,88.29
STD02311,20,M,master,6.61,,Yes,6.31,49.4,No,Excellent,,Good,93.84
STD02267,20,M,master,14.15,39.28,No,5.85,59.59,No,Poor,Low,Excellent,93.53
STD01042,18,F,high_school,8.6,50.76,No,6.85,43.77,No,Excellent,High,Good,89.72
STD02119,25,M,doctorate,11.62,70.63,No,7.81,72.88,Yes,Good,Low,Excellent,100
STD02283,24,F,master,0.2,68.35,No,,70.54,No,Excellent,Medium,Excellent,84.59
STD02147,20,M,master,9.6,51.83,Yes,5.73,55.49,Yes,Excellent,High,Poor,99.01
STD00411,21,F,master,8.93,83.54,Yes,5.03,44.21,No,Good,Low,Excellent,89.18
STD02342,22,F,doctorate,8.67,58.72,Yes,7.1,49.75,Yes,Excellent,Medium,Good,99.88
STD01657,22,M,bachelor,15.63,65.01,Yes,,62.63,No,Good,Medium,Poor,98.7
STD00235,19,F,high_school,11.58,66.74,No,6.66,58.63,No,,Low,Good,97.76
STD01105,19,F,bachelor,13.33,59.8,Yes,7.93,48.46,Yes,Good,Medium,Good,97.15
STD01560,21,F,master,,56.65,No,7.9,54.72,Yes,Poor,Medium,Excellent,95.23
STD01789,18,F,master,14.98,,No,6.8,55.56,No,Good,Medium,Good,100
STD00573,23,F,master,,108.19,Yes,9.13,53.28,No,Good,Medium,Good,92.22
STD01617,18,M,bachelor,9.16,70.33,Yes,6.91,48.87,Yes,Excellent,High,Excellent,100
STD01317,25,M,high_school,2.42,70.9,Yes,5.44,35.62,No,,Low,Good,64.32
STD02014,22,M,high_school,9.71,,Yes,,61.7,No,Good,Medium,Poor,81.47
STD01581,18,F,master,12.09,58.36,  No ,6.29,59.77,Yes,Good,Low,Excellent,100
STD01200,23,M,high_school,9.4,54.14,Yes,6.91,,Yes,Good,Low,Poor,84.91
STD00814,23,F,high_school,,52.31,Yes,6.48,40.45,Yes,Excellent,Medium,Good,85.66
STD02034,21,M,doctorate,,55.14,Yes,6.21,72.11,No,Good,High,Good,100
STD01818,21,F,bachelor,4.85,,Yes,,61.07,No,Good,Low,Good,85.93
STD00440,19,F,bachelor,8.22,57.1,Yes,7.55,57.61,No,Good,Low,Excellent,93.45
STD01193,22,F,doctorate,,59.76,Yes,6.88,54.72,No,Excellent,Medium,Good,100
STD00042,20,F,master,91.79,70.12,Yes,7.0,51.0,Yes,Good,Low,Excellent,99.17
STD01721,19,M,bachelor,3.97,36.54,Yes,6.95,66.49,No,Good,Medium,Excellent,83.31
STD00214,22,M,high_school,10.6,52.45,No,6.24,44.12,Yes,Good,Low,Poor,77.5
STD01783,25,F,high_school,6.87,42.91,Yes,5.89,47.18,No,Good,Medium,Good,79.78
STD01214,21,M,bachelor,12.23,67.36,No,7.79,39.05,No,Excellent,High,Good,100
STD00830,25,F,high_school,4.88,57.35,No,7.05,61.76,No,,Low,Poor,77.03
STD02148,25,M,doctorate,6.14,70.47,No,6.47,60.46,No,Good,Medium,Excellent,94.27
STD00463,25,M,bachelor,11.83,46.16,Yes,,59.12,Yes,Good,Low,Good,92.64
STD00606,18,M,high_school,,58.5,Yes,6.58,69.3,Yes,Good,,Good,96.73
STD02299,24,F,bachelor,0.56,64.54,Yes,5.61,53.33,Yes,Good,Medium,Good,82.27
